🛰️央视综合,#genre#
CCTV1综合,http://angtv.cn/test/bestv.php?id=cctv1hd8m/8000000
CCTV2财政,http://angtv.cn/test/bestv.php?id=cctv2hd8m/8000000
CCTV3综艺,http://angtv.cn/test/bestv.php?id=cctv38m/8000000
CCTV4中文国际,http://angtv.cn/test/bestv.php?id=cctv4hd8m/8000000
CCTV5+体育赛事,http://angtv.cn/test/bestv.php?id=cctv5hd8m/8000000
CCTV6电影频道,http://angtv.cn/test/bestv.php?id=cctv6hd8m/8000000
CCTV7国防军事,http://angtv.cn/test/bestv.php?id=cctv7hd8m/8000000
CCTV8电视剧频道,http://angtv.cn/test/bestv.php?id=cctv8hd8m/8000000
CCTV9纪录,http://angtv.cn/test/bestv.php?id=cctv9hd8m/8000000
CCTV10科教,http://angtv.cn/test/bestv.php?id=cctv10hd8m/8000000
CCTV11戏曲,http://angtv.cn/test/bestv.php?id=cctv11hd8m/8000000
CCTV12社会与法,http://angtv.cn/test/bestv.php?id=cctv12hd8m/8000000
CCTV13新闻,http://angtv.cn/test/bestv.php?id=cctv13xwhd8m/8000000
CCTV14少儿,http://angtv.cn/test/bestv.php?id=cctvsehd8m/8000000
CCTV15音乐,http://angtv.cn/test/bestv.php?id=cctv15hd8m/8000000
CCTV16奥林匹克,http://angtv.cn/test/bestv.php?id=cctv16hd8m/8000000
CCTV17农业农村,http://angtv.cn/test/bestv.php?id=cctv17hd8m/8000000
四川卫视,http://angtv.cn/test/bestv.php?id=scwshd/8000000
北京卫视,http://angtv.cn/test/bestv.php?id=bjwshd8m/8000000
天津卫视,http://angtv.cn/test/bestv.php?id=tjwshd8m/8000000
重庆卫视,http://angtv.cn/test/bestv.php?id=cqws8m/8000000
东方卫视,http://angtv.cn/test/bestv.php?id=dfwshd8m/8000000
江苏卫视,http://angtv.cn/test/bestv.php?id=jswshd8m/8000000
浙江卫视,http://angtv.cn/test/bestv.php?id=zjwshd8m/8000000
东南卫视,http://angtv.cn/test/bestv.php?id=dnwshd8m/8000000
广东卫视,http://angtv.cn/test/bestv.php?id=gdwshd8m/8000000
广西卫视,http://angtv.cn/test/bestv.php?id=gxwshd8m/8000000
贵州卫视,http://angtv.cn/test/bestv.php?id=gzwshd8m/8000000
云南卫视,http://angtv.cn/test/bestv.php?id=ynwshd8m/8000000
河北卫视,http://angtv.cn/test/bestv.php?id=hbwshd8m/8000000
甘肃卫视,http://angtv.cn/test/bestv.php?id=gswshd8m/8000000
河南卫视,http://angtv.cn/test/bestv.php?id=hnwshd8m/8000000
黑龙江卫视,http://angtv.cn/test/bestv.php?id=hljwshd8m/8000000
吉林卫视,http://angtv.cn/test/bestv.php?id=jlwshd8m/8000000
深圳卫视,http://angtv.cn/test/bestv.php?id=szwshd8m/8000000
湖南卫视,http://angtv.cn/test/bestv.php?id=hunanwshd8m/8000000
湖北卫视,http://angtv.cn/test/bestv.php?id=hubeiws8m/8000000
安徽卫视,http://angtv.cn/test/bestv.php?id=ahwshd8m/8000000
江西卫视,http://angtv.cn/test/bestv.php?id=jxwshd8m/8000000
辽宁卫视,http://angtv.cn/test/bestv.php?id=lnwshd8m/8000000
海南卫视,http://angtv.cn/test/bestv.php?id=hainanwshd8m/8000000
欢笑剧场 4k,http://angtv.cn/test/bestv.php?id=hxjc8m/8000000
劲爆体育,http://angtv.cn/test/bestv.php?id=jbtyhd8m/8000000
🍁内蒙综合,#genre#
内蒙古卫视,http://1.183.178.135:8097/udp/239.29.0.2:5000
内蒙经济,http://1.183.178.135:8097/udp/239.29.0.212:5000
内蒙新闻,http://1.183.178.135:8097/udp/239.29.0.208:5000
内蒙文体娱乐,http://1.183.178.135:8097/udp/239.29.0.211:5000
内蒙农牧,http://1.183.178.135:8097/udp/239.29.0.209:5000
内蒙少儿,http://1.183.178.135:8097/udp/239.29.0.207:5000
内蒙蒙语,http://1.183.178.135:8097/udp/239.29.0.210:5000
呼市都市,http://1.183.178.135:8097/udp/239.29.0.36:5000
呼市新闻,http://1.183.178.135:8097/udp/239.29.0.35:5000
呼市影视,http://1.183.178.135:8097/udp/239.29.0.37:5000
包头经济,http://1.183.178.135:8097/udp/239.29.0.204:5000
包头生活,http://1.183.178.135:8097/udp/239.29.0.112:5000
包头新闻,http://1.183.178.135:8097/udp/239.29.0.111:5000
乌海新闻,http://1.183.178.135:8097/udp/239.29.0.11:5000
乌海都市,http://1.183.178.135:8097/udp/239.29.0.12:5000
乌盟经济,http://1.183.178.135:8097/udp/239.29.0.23:5000
乌盟新闻,http://1.183.178.135:8097/udp/239.29.0.22:5000
乌盟生活,http://1.183.178.135:8097/udp/239.29.0.24:5000
赤峰新闻,http://1.183.178.135:8097/udp/239.29.0.13:5000
赤峰经济,http://1.183.178.135:8097/udp/239.29.0.14:5000
赤峰影视,http://1.183.178.135:8097/udp/239.29.0.15:5000
兴安新闻,http://1.183.178.135:8097/udp/239.29.0.16:5000
兴安文化,http://1.183.178.135:8097/udp/239.29.0.17:5000
兴安影视,http://1.183.178.135:8097/udp/239.29.0.18:5000
通辽城市,http://1.183.178.135:8097/udp/239.29.0.42:5000
通辽新闻,http://1.183.178.135:8097/udp/239.29.0.41:5000
通辽蒙语,http://1.183.178.135:8097/udp/239.29.0.40:5000
阿拉善新闻,http://1.183.178.135:8097/udp/239.29.0.28:5000
阿拉善经济,http://1.183.178.135:8097/udp/239.29.0.29:5000
呼伦贝尔新闻,http://1.183.178.135:8097/udp/239.29.0.19:5000
呼伦贝尔文游,http://1.183.178.135:8097/udp/239.29.0.20:5000
呼伦贝尔资讯,http://1.183.178.135:8097/udp/239.29.0.21:5000
巴彦淖尔新闻,http://1.183.178.135:8097/udp/239.29.0.25:5000
巴彦淖尔经济,http://1.183.178.135:8097/udp/239.29.0.26:5000
巴彦淖尔影视,http://1.183.178.135:8097/udp/239.29.0.27:5000
鄂尔多斯新闻,http://1.183.178.135:8097/udp/239.29.0.30:5000
鄂尔多斯生活,http://1.183.178.135:8097/udp/239.29.0.32:5000
鄂尔多斯经济,http://1.183.178.135:8097/udp/239.29.0.31:5000
鄂尔多斯蒙语,http://1.183.178.135:8097/udp/239.29.0.33:5000
锡林郭勒1,http://1.183.178.135:8097/udp/239.29.0.38:5000
锡林郭勒2,http://1.183.178.135:8097/udp/239.29.0.39:5000
