江苏电信,#genre#
CCTV1高清,http://121.237.53.178:8888/rtp/239.49.8.19:9614#http://121.237.53.178:8888/rtp/239.49.8.129:6000
CCTV2财经高清,http://121.237.53.178:8888/rtp/239.49.8.50:9802#http://121.237.53.178:8888/rtp/239.49.8.130:6000
CCTV3综艺,http://121.237.53.178:8888/rtp/239.49.0.3:9566#http://121.237.53.178:8888/rtp/239.49.1.3:6000
CCTV4中文国际高清,http://121.237.53.178:8888/rtp/239.49.8.51:9806#http://121.237.53.178:8888/rtp/239.49.8.131:6000
CCTV5高清,http://121.237.53.178:8888/rtp/239.49.8.170:6000#http://121.237.53.178:8888/rtp/239.49.8.172:6000
CCTV6电影频道,http://121.237.53.178:8888/rtp/239.49.0.6:9574#http://121.237.53.178:8888/rtp/239.49.1.6:6000
CCTV7军事-农业高清,http://121.237.53.178:8888/rtp/239.49.8.52:9810#http://121.237.53.178:8888/rtp/239.49.8.132:6000
CCTV8电视剧,http://121.237.53.178:8888/rtp/239.49.0.8:9578#http://121.237.53.178:8888/rtp/239.49.1.8:6000
CCTV9高清,http://121.237.53.178:8888/rtp/239.49.8.53:9814#http://121.237.53.178:8888/rtp/239.49.8.133:6000
CCTV10科教高清,http://121.237.53.178:8888/rtp/239.49.8.54:9818#http://121.237.53.178:8888/rtp/239.49.8.134:6000
CCTV11戏曲,http://121.237.53.178:8888/rtp/239.49.0.11:8080#http://121.237.53.178:8888/rtp/239.49.1.11:6000
CCTV12社会与法高清,http://121.237.53.178:8888/rtp/239.49.8.55:9822#http://121.237.53.178:8888/rtp/239.49.8.135:6000
CCTV13新闻,http://121.237.53.178:8888/rtp/239.49.0.13:8096#http://121.237.53.178:8888/rtp/239.49.1.13:6000
CCTV14少儿高清,http://121.237.53.178:8888/rtp/239.49.8.56:9826#http://121.237.53.178:8888/rtp/239.49.8.136:6000
CCTV15音乐,http://121.237.53.178:8888/rtp/239.49.0.15:8112#http://121.237.53.178:8888/rtp/239.49.1.15:6000
CCTV5+高清,http://121.237.53.178:8888/rtp/239.49.8.18:9610#http://121.237.53.178:8888/rtp/239.49.8.137:6000
CETV1高清,http://121.237.53.178:8888/rtp/239.49.8.115:8000#http://121.237.53.178:8888/rtp/239.49.8.189:6000
山东卫视高清,http://121.237.53.178:8888/rtp/239.49.8.7:9306#http://121.237.53.178:8888/rtp/239.49.8.146:6000
湖北卫视高清,http://121.237.53.178:8888/rtp/239.49.8.8:9632#http://121.237.53.178:8888/rtp/239.49.8.147:6000
北京卫视高清,http://121.237.53.178:8888/rtp/239.49.8.11:9414#http://121.237.53.178:8888/rtp/239.49.8.141:6000
湖南卫视高清,http://121.237.53.178:8888/rtp/239.49.8.12:9418#http://121.237.53.178:8888/rtp/239.49.8.142:6000
广东卫视高清,http://121.237.53.178:8888/rtp/239.49.8.13:9422#http://121.237.53.178:8888/rtp/239.49.8.143:6000
黑龙江卫视高清,http://121.237.53.178:8888/rtp/239.49.8.14:9426#http://121.237.53.178:8888/rtp/239.49.8.144:6000
深圳卫视高清,http://121.237.53.178:8888/rtp/239.49.8.15:9430#http://121.237.53.178:8888/rtp/239.49.8.145:6000
江苏卫视高清,http://121.237.53.178:8888/rtp/239.49.8.16:9602#http://121.237.53.178:8888/rtp/239.49.8.138:6000
东方卫视高清,http://121.237.53.178:8888/rtp/239.49.8.140:6000#http://121.237.53.178:8888/rtp/239.49.8.17:9606
浙江卫视高清,http://121.237.53.178:8888/rtp/239.49.8.20:9618#http://121.237.53.178:8888/rtp/239.49.8.139:6000
天津卫视高清,http://121.237.53.178:8888/rtp/239.49.8.35:8620#http://121.237.53.178:8888/rtp/239.49.8.148:6000
辽宁卫视高清,http://121.237.53.178:8888/rtp/239.49.8.48:8000#http://121.237.53.178:8888/rtp/239.49.8.173:6000
贵州卫视高清,http://121.237.53.178:8888/rtp/239.49.8.49:8000#http://121.237.53.178:8888/rtp/239.49.8.174:6000
重庆卫视高清,http://121.237.53.178:8888/rtp/239.49.8.57:9830#http://121.237.53.178:8888/rtp/239.49.8.149:6000
河北卫视高清,http://121.237.53.178:8888/rtp/239.49.8.114:8000#http://121.237.53.178:8888/rtp/239.49.8.188:6000
吉林卫视高清,http://121.237.53.178:8888/rtp/239.49.8.113:8000#http://121.237.53.178:8888/rtp/239.49.8.187:6000
东南卫视高清,http://121.237.53.178:8888/rtp/239.49.8.112:8000#http://121.237.53.178:8888/rtp/239.49.8.186:6000
江西卫视高清,http://121.237.53.178:8888/rtp/239.49.8.111:8000#http://121.237.53.178:8888/rtp/239.49.8.185:6000
四川卫视高清,http://121.237.53.178:8888/rtp/239.49.8.110:8000#http://121.237.53.178:8888/rtp/239.49.8.184:6000
魅力音乐高清,http://121.237.53.178:8888/rtp/239.49.8.46:8052
五星体育,http://121.237.53.178:8888/rtp/239.49.8.162:6000
BESTV超级体育1,http://121.237.53.178:8888/rtp/239.49.8.163:6000
BESTV超级体育2,http://121.237.53.178:8888/rtp/239.49.8.164:6000
BESTV-Live1,http://121.237.53.178:8888/rtp/239.49.8.165:6000
BESTV-Live2,http://121.237.53.178:8888/rtp/239.49.8.166:6000
看看新闻(高清),http://121.237.53.178:8888/rtp/239.49.8.167:6000
劲爆体育(高清),http://121.237.53.178:8888/rtp/239.49.8.168:6000
电竞世界1,http://121.237.53.178:8888/rtp/239.49.8.169:6000
电竞世界2,http://121.237.53.178:8888/rtp/239.49.8.171:6000
生活时尚(高清),http://121.237.53.178:8888/rtp/239.49.8.175:6000
北京纪实高清,http://121.237.53.178:8888/rtp/239.49.8.202:6000
金鹰纪实高清,http://121.237.53.178:8888/rtp/239.49.8.203:6000
游戏风云(高清),http://121.237.53.178:8888/rtp/239.49.8.176:6000
动漫秀场(高清),http://121.237.53.178:8888/rtp/239.49.8.178:6000
全纪实(高清),http://121.237.53.178:8888/rtp/239.49.8.179:6000
BESTV鼎级剧场(高清),http://121.237.53.178:8888/rtp/239.49.8.180:6000
欢笑剧场(高清),http://121.237.53.178:8888/rtp/239.49.8.182:6000
游戏直播(高清),http://121.237.53.178:8888/rtp/239.49.8.151:6000
英雄联盟(高清),http://121.237.53.178:8888/rtp/239.49.8.152:6000
备用1高清,http://121.237.53.178:8888/rtp/239.49.8.160:6000
备用2高清,http://121.237.53.178:8888/rtp/239.49.8.161:6000
CCTV1综合,http://121.237.53.178:8888/rtp/239.49.0.1:8000#http://121.237.53.178:8888/rtp/239.49.1.1:6000
CCTV2财经,http://121.237.53.178:8888/rtp/239.49.0.2:8008#http://121.237.53.178:8888/rtp/239.49.1.2:6000
CCTV4中文国际,http://121.237.53.178:8888/rtp/239.49.0.4:8024#http://121.237.53.178:8888/rtp/239.49.1.4:6000
CCTV5体育频道,http://121.237.53.178:8888/rtp/239.49.0.5:9570#http://121.237.53.178:8888/rtp/239.49.1.5:6000
CCTV7军事农业,http://121.237.53.178:8888/rtp/239.49.0.7:8048#http://121.237.53.178:8888/rtp/239.49.1.7:6000
CGTN,http://121.237.53.178:8888/rtp/239.49.0.9:8064#http://121.237.53.178:8888/rtp/239.49.1.9:6000
CCTV10科教,http://121.237.53.178:8888/rtp/239.49.0.10:8072#http://121.237.53.178:8888/rtp/239.49.1.10:6000
CCTV12社会与法,http://121.237.53.178:8888/rtp/239.49.0.12:8088#http://121.237.53.178:8888/rtp/239.49.1.12:6000
CCTV14少儿,http://121.237.53.178:8888/rtp/239.49.0.14:8104#http://121.237.53.178:8888/rtp/239.49.1.14:6000
CETV1,http://121.237.53.178:8888/rtp/239.49.0.70:8552#http://121.237.53.178:8888/rtp/239.49.1.54:6000
CETV2,http://121.237.53.178:8888/rtp/239.49.0.71:8560#http://121.237.53.178:8888/rtp/239.49.1.55:6000
CETV4,http://121.237.53.178:8888/rtp/239.49.0.72:8568#http://121.237.53.178:8888/rtp/239.49.1.56:6000
中国天气,http://121.237.53.178:8888/rtp/239.49.1.58:6000
江苏卫视,http://121.237.53.178:8888/rtp/239.49.0.16:8120#http://121.237.53.178:8888/rtp/239.49.0.126:8000#http://121.237.53.178:8888/rtp/239.49.1.16:6000
东方卫视,http://121.237.53.178:8888/rtp/239.49.0.48:8376#http://121.237.53.178:8888/rtp/239.49.1.32:6000
东方卫视录播?-标清,http://121.237.53.178:8888/rtp/239.49.1.216:6000
北京卫视,http://121.237.53.178:8888/rtp/239.49.0.49:8384#http://121.237.53.178:8888/rtp/239.49.1.33:6000
浙江卫视,http://121.237.53.178:8888/rtp/239.49.0.50:8392#http://121.237.53.178:8888/rtp/239.49.1.34:6000
辽宁卫视,http://121.237.53.178:8888/rtp/239.49.0.51:8400#http://121.237.53.178:8888/rtp/239.49.1.35:6000
安徽卫视,http://121.237.53.178:8888/rtp/239.49.0.52:8408#http://121.237.53.178:8888/rtp/239.49.1.36:6000
